Sort,Field Name,Field Alias,Type,Length,Relevant Layer,Metric Type,Version,Version Date
1,OBJECTID,OBJECTID,Integer,4,n/a,n/a,1.20.0,December 2025
2,Shape,Shape,Geometry,n/a,n/a,n/a,1.20.0,December 2025
3,Shape_Length,Shape_Length,Double,8,n/a,n/a,1.20.0,December 2025
4,Shape_Area,Shape_Area,Double,8,n/a,n/a,1.20.0,December 2025
5,STATE,State Name,String,250,All,n/a,1.20.0,December 2025
6,STATEABBRV,State Name Abbreviation,String,20,All,n/a,1.20.0,December 2025
7,STATEFIPS,State FIPS Code,String,20,All,n/a,1.20.0,December 2025
8,COUNTY,County Name,String,250,All,n/a,1.20.0,December 2025
9,COUNTYTYPE,County Type,String,250,All,n/a,1.20.0,December 2025
10,COUNTYFIPS,County FIPS Code,String,20,All,n/a,1.20.0,December 2025
11,STCOFIPS,State-County FIPS Code,String,20,All,n/a,1.20.0,December 2025
12,TRACT,Census Tract,String,20,All,n/a,1.20.0,December 2025
13,TRACTFIPS,Census Tract FIPS Code,String,20,All,n/a,1.20.0,December 2025
14,NRI_ID,National Risk Index ID,String,20,All,n/a,1.20.0,December 2025
15,POPULATION,Population (2020),Integer,4,All,n/a,1.20.0,December 2025
16,BUILDVALUE,Building Value ($),Double,8,All,n/a,1.20.0,December 2025
17,AGRIVALUE,Agriculture Value ($),Double,8,All,n/a,1.20.0,December 2025
18,AREA,Area (sq mi),Double,8,All,n/a,1.20.0,December 2025
19,RISK_VALUE,National Risk Index - Value - Composite,Double,8,National Risk Index,Value,1.20.0,December 2025
20,RISK_SCORE,National Risk Index - Score - Composite,Double,8,National Risk Index,Score,1.20.0,December 2025
21,RISK_RATNG,National Risk Index - Rating - Composite,String,50,National Risk Index,Rating,1.20.0,December 2025
22,RISK_SPCTL,National Risk Index - State Percentile - Composite,Double,8,National Risk Index,State Percentile,1.20.0,December 2025
23,EAL_SCORE,Expected Annual Loss - Score - Composite,Double,8,Expected Annual Loss,Score,1.20.0,December 2025
24,EAL_RATNG,Expected Annual Loss - Rating - Composite,String,50,Expected Annual Loss,Rating,1.20.0,December 2025
25,EAL_SPCTL,Expected Annual Loss - State Percentile - Composite,Double,8,Expected Annual Loss,State Percentile,1.20.0,December 2025
26,EAL_VALT,Expected Annual Loss - Total - Composite,Double,8,Expected Annual Loss,Value,1.20.0,December 2025
27,EAL_VALB,Expected Annual Loss - Building Value - Composite,Double,8,Expected Annual Loss,Value,1.20.0,December 2025
28,EAL_VALP,Expected Annual Loss - Population - Composite,Double,8,Expected Annual Loss,Value,1.20.0,December 2025
29,EAL_VALPE,Expected Annual Loss - Population Equivalence - Composite,Double,8,Expected Annual Loss,Value,1.20.0,December 2025
30,EAL_VALA,Expected Annual Loss - Agriculture Value - Composite,Double,8,Expected Annual Loss,Value,1.20.0,December 2025
31,ALR_VALB,Expected Annual Loss Rate - Building - Composite,Double,8,Expected Annual Loss Rate,Value,1.20.0,December 2025
32,ALR_VALP,Expected Annual Loss Rate - Population - Composite,Double,8,Expected Annual Loss Rate,Value,1.20.0,December 2025
33,ALR_VALA,Expected Annual Loss Rate - Agriculture - Composite,Double,8,Expected Annual Loss Rate,Value,1.20.0,December 2025
34,ALR_NPCTL,Expected Annual Loss Rate - National Percentile - Composite,Double,8,Expected Annual Loss Rate,National Percentile,1.20.0,December 2025
35,ALR_VRA_NPCTL,Social Vulnerability and Community Resilience Adjusted Expected Annual Loss Rate - National Percentile - Composite,Double,8,Social Vulnerability and Community Resilience Adjusted Expected Annual Loss Rate,National Percentile,1.20.0,December 2025
36,SOVI_SCORE,Social Vulnerability - Score,Double,8,Social Vulnerability,Score,1.20.0,December 2025
37,SOVI_RATNG,Social Vulnerability - Rating,String,50,Social Vulnerability,Rating,1.20.0,December 2025
38,SOVI_SPCTL,Social Vulnerability - State Percentile,Double,8,Social Vulnerability,State Percentile,1.20.0,December 2025
39,RESL_SCORE,Community Resilience - Score,Double,8,Community Resilience,Score,1.20.0,December 2025
40,RESL_RATNG,Community Resilience - Rating,String,50,Community Resilience,Rating,1.20.0,December 2025
41,RESL_SPCTL,Community Resilience - State Percentile,Double,8,Community Resilience,State Percentile,1.20.0,December 2025
42,RESL_VALUE,Community Resilience - Value,Double,8,Community Resilience,Value,1.20.0,December 2025
43,CRF_VALUE,Community Risk Factor - Value,Double,8,Community Risk Factor,Value,1.20.0,December 2025
44,VLCN_EVNTS,Volcanic Activity - Number of Events,Double,8,Volcanic Activity,Number of Events,1.20.0,December 2025
45,VLCN_AFREQ,Volcanic Activity - Annualized Frequency,Double,8,Volcanic Activity,Annualized Frequency,1.20.0,December 2025
46,VLCN_EXPB,Volcanic Activity - Exposure - Building Value,Double,8,Volcanic Activity,Exposure - Building Value,1.20.0,December 2025
47,VLCN_EXPP,Volcanic Activity - Exposure - Population,Double,8,Volcanic Activity,Exposure - Population,1.20.0,December 2025
48,VLCN_EXPPE,Volcanic Activity - Exposure - Population Equivalence,Double,8,Volcanic Activity,Exposure - Population Equivalence,1.20.0,December 2025
49,VLCN_EXPT,Volcanic Activity - Exposure - Total,Double,8,Volcanic Activity,Exposure - Total,1.20.0,December 2025
50,VLCN_EXP_AREA,Volcanic Activity - Exposure - Impacted Area (sq mi),Double,8,Volcanic Activity,Exposure - Area,1.20.0,December 2025
51,VLCN_HLRB,Volcanic Activity - Historic Loss Ratio - Buildings,Double,8,Volcanic Activity,Historic Loss Ratio - Buildings,1.20.0,December 2025
52,VLCN_HLRP,Volcanic Activity - Historic Loss Ratio - Population,Double,8,Volcanic Activity,Historic Loss Ratio - Population,1.20.0,December 2025
53,VLCN_HLRR,Volcanic Activity - Historic Loss Ratio - Total Rating,String,50,Volcanic Activity,Historic Loss Ratio - Total Rating,1.20.0,December 2025
54,VLCN_EALB,Volcanic Activity - Expected Annual Loss - Building Value,Double,8,Volcanic Activity,Expected Annual Loss - Building Value,1.20.0,December 2025
55,VLCN_EALP,Volcanic Activity - Expected Annual Loss - Population,Double,8,Volcanic Activity,Expected Annual Loss - Population,1.20.0,December 2025
56,VLCN_EALPE,Volcanic Activity - Expected Annual Loss - Population Equivalence,Double,8,Volcanic Activity,Expected Annual Loss - Population Equivalence,1.20.0,December 2025
57,VLCN_EALT,Volcanic Activity - Expected Annual Loss - Total,Double,8,Volcanic Activity,Expected Annual Loss - Total,1.20.0,December 2025
58,VLCN_EALS,Volcanic Activity - Expected Annual Loss Score,Double,8,Volcanic Activity,Expected Annual Loss Score,1.20.0,December 2025
59,VLCN_EALR,Volcanic Activity - Expected Annual Loss Rating,String,50,Volcanic Activity,Expected Annual Loss Rating,1.20.0,December 2025
60,VLCN_ALRB,Volcanic Activity - Expected Annual Loss Rate - Building,Double,8,Volcanic Activity,Expected Annual Loss Rate - Building,1.20.0,December 2025
61,VLCN_ALRP,Volcanic Activity - Expected Annual Loss Rate - Population,Double,8,Volcanic Activity,Expected Annual Loss Rate - Population,1.20.0,December 2025
62,VLCN_ALR_NPCTL,Volcanic Activity - Expected Annual Loss Rate - National Percentile,Double,8,Volcanic Activity,National Percentile,1.20.0,December 2025
63,VLCN_RISKV,Volcanic Activity - Hazard Type Risk Index Value,Double,8,Volcanic Activity,Hazard Type Risk Index Value,1.20.0,December 2025
64,VLCN_RISKS,Volcanic Activity - Hazard Type Risk Index Score,Double,8,Volcanic Activity,Hazard Type Risk Index Score,1.20.0,December 2025
65,VLCN_RISKR,Volcanic Activity - Hazard Type Risk Index Rating,String,50,Volcanic Activity,Hazard Type Risk Index Rating,1.20.0,December 2025
66,,,,,,Number of Events,1.20.0,December 2025
67,,,,,,Annualized Frequency,1.20.0,December 2025
68,,,,,,Exposure - Building Value,1.20.0,December 2025
69,,,,,,Exposure - Population,1.20.0,December 2025
70,,,,,,Exposure - Population Equivalence,1.20.0,December 2025
71,,,,,,Exposure - Total,1.20.0,December 2025
72,,,,,,Exposure - Area,1.20.0,December 2025
73,,,,,,Historic Loss Ratio - Buildings,1.20.0,December 2025
74,,,,,,Historic Loss Ratio - Population,1.20.0,December 2025
75,,,,,,Historic Loss Ratio - Total Rating,1.20.0,December 2025
76,,,,,,Expected Annual Loss - Building Value,1.20.0,December 2025
77,,,,,,Expected Annual Loss - Population,1.20.0,December 2025
78,,,,,,Expected Annual Loss - Population Equivalence,1.20.0,December 2025
79,,,,,,Expected Annual Loss - Total,1.20.0,December 2025
80,,,,,,Expected Annual Loss Score,1.20.0,December 2025
81,,,,,,Expected Annual Loss Rating,1.20.0,December 2025
82,,,,,,Expected Annual Loss Rate - Building,1.20.0,December 2025
83,,,,,,Expected Annual Loss Rate - Population,1.20.0,December 2025
84,,,,,,National Percentile,1.20.0,December 2025
85,,,,,,Hazard Type Risk Index Value,1.20.0,December 2025
86,,,,,,Hazard Type Risk Index Score,1.20.0,December 2025
87,,,,,,Hazard Type Risk Index Rating,1.20.0,December 2025
88,,,,,,Number of Events,1.20.0,December 2025
89,,,,,,Annualized Frequency,1.20.0,December 2025
90,,,,,,Exposure - Building Value,1.20.0,December 2025
91,,,,,,Exposure - Population,1.20.0,December 2025
92,,,,,,Exposure - Population Equivalence,1.20.0,December 2025
93,,,,,,Exposure - Agriculture Value,1.20.0,December 2025
94,,,,,,Exposure - Total,1.20.0,December 2025
95,,,,,,Exposure - Area,1.20.0,December 2025
96,,,,,,Historic Loss Ratio - Buildings,1.20.0,December 2025
97,,,,,,Historic Loss Ratio - Population,1.20.0,December 2025
98,,,,,,Historic Loss Ratio - Agriculture,1.20.0,December 2025
99,,,,,,Historic Loss Ratio - Total Rating,1.20.0,December 2025
100,,,,,,Expected Annual Loss - Building Value,1.20.0,December 2025
101,,,,,,Expected Annual Loss - Population,1.20.0,December 2025
102,,,,,,Expected Annual Loss - Population Equivalence,1.20.0,December 2025
103,,,,,,Expected Annual Loss - Agriculture Value,1.20.0,December 2025
104,,,,,,Expected Annual Loss - Total,1.20.0,December 2025
105,,,,,,Expected Annual Loss Score,1.20.0,December 2025
106,,,,,,Expected Annual Loss Rating,1.20.0,December 2025
107,,,,,,Expected Annual Loss Rate - Building,1.20.0,December 2025
108,,,,,,Expected Annual Loss Rate - Population,1.20.0,December 2025
109,,,,,,Expected Annual Loss Rate - Agriculture,1.20.0,December 2025
110,,,,,,National Percentile,1.20.0,December 2025
111,,,,,,Hazard Type Risk Index Value,1.20.0,December 2025
112,,,,,,Hazard Type Risk Index Score,1.20.0,December 2025
113,,,,,,Hazard Type Risk Index Rating,1.20.0,December 2025
114,,,,,,Number of Events,1.20.0,December 2025
115,,,,,,Annualized Frequency,1.20.0,December 2025
116,,,,,,Exposure - Agriculture Value,1.20.0,December 2025
117,,,,,,Exposure - Total,1.20.0,December 2025
118,,,,,,Exposure - Area,1.20.0,December 2025
119,,,,,,Historic Loss Ratio - Agriculture,1.20.0,December 2025
120,,,,,,Historic Loss Ratio - Total Rating,1.20.0,December 2025
121,,,,,,Expected Annual Loss - Agriculture Value,1.20.0,December 2025
122,,,,,,Expected Annual Loss - Total,1.20.0,December 2025
123,,,,,,Expected Annual Loss Score,1.20.0,December 2025
124,,,,,,Expected Annual Loss Rating,1.20.0,December 2025
125,,,,,,Expected Annual Loss Rate - Agriculture,1.20.0,December 2025
126,,,,,,National Percentile,1.20.0,December 2025
127,,,,,,Hazard Type Risk Index Value,1.20.0,December 2025
128,,,,,,Hazard Type Risk Index Score,1.20.0,December 2025
129,,,,,,Hazard Type Risk Index Rating,1.20.0,December 2025
130,,,,,,Number of Events,1.20.0,December 2025
131,,,,,,Annualized Frequency,1.20.0,December 2025
132,,,,,,Exposure - Building Value,1.20.0,December 2025
133,,,,,,Exposure - Population,1.20.0,December 2025
134,,,,,,Exposure - Population Equivalence,1.20.0,December 2025
135,,,,,,Exposure - Total,1.20.0,December 2025
136,,,,,,Exposure - Area,1.20.0,December 2025
137,,,,,,Historic Loss Ratio - Buildings,1.20.0,December 2025
138,,,,,,Historic Loss Ratio - Population,1.20.0,December 2025
139,,,,,,Historic Loss Ratio - Total Rating,1.20.0,December 2025
140,,,,,,Expected Annual Loss - Building Value,1.20.0,December 2025
141,,,,,,Expected Annual Loss - Population,1.20.0,December 2025
142,,,,,,Expected Annual Loss - Population Equivalence,1.20.0,December 2025
143,,,,,,Expected Annual Loss - Total,1.20.0,December 2025
144,,,,,,Expected Annual Loss Score,1.20.0,December 2025
145,,,,,,Expected Annual Loss Rating,1.20.0,December 2025
146,,,,,,Expected Annual Loss Rate - Building,1.20.0,December 2025
147,,,,,,Expected Annual Loss Rate - Population,1.20.0,December 2025
148,,,,,,National Percentile,1.20.0,December 2025
149,,,,,,Hazard Type Risk Index Value,1.20.0,December 2025
150,,,,,,Hazard Type Risk Index Score,1.20.0,December 2025
151,,,,,,Hazard Type Risk Index Rating,1.20.0,December 2025
152,,,,,,Number of Events,1.20.0,December 2025
153,,,,,,Annualized Frequency,1.20.0,December 2025
154,,,,,,Exposure - Building Value,1.20.0,December 2025
155,,,,,,Exposure - Population,1.20.0,December 2025
156,,,,,,Exposure - Population Equivalence,1.20.0,December 2025
157,,,,,,Exposure - Agriculture Value,1.20.0,December 2025
158,,,,,,Exposure - Total,1.20.0,December 2025
159,,,,,,Exposure - Area,1.20.0,December 2025
160,,,,,,Historic Loss Ratio - Buildings,1.20.0,December 2025
161,,,,,,Historic Loss Ratio - Population,1.20.0,December 2025
162,,,,,,Historic Loss Ratio - Agriculture,1.20.0,December 2025
163,,,,,,Historic Loss Ratio - Total Rating,1.20.0,December 2025
164,,,,,,Expected Annual Loss - Building Value,1.20.0,December 2025
165,,,,,,Expected Annual Loss - Population,1.20.0,December 2025
166,,,,,,Expected Annual Loss - Population Equivalence,1.20.0,December 2025
167,,,,,,Expected Annual Loss - Agriculture Value,1.20.0,December 2025
168,,,,,,Expected Annual Loss - Total,1.20.0,December 2025
169,,,,,,Expected Annual Loss Score,1.20.0,December 2025
170,,,,,,Expected Annual Loss Rating,1.20.0,December 2025
171,,,,,,Expected Annual Loss Rate - Building,1.20.0,December 2025
172,,,,,,Expected Annual Loss Rate - Population,1.20.0,December 2025
173,,,,,,Expected Annual Loss Rate - Agriculture,1.20.0,December 2025
174,,,,,,National Percentile,1.20.0,December 2025
175,,,,,,Hazard Type Risk Index Value,1.20.0,December 2025
176,,,,,,Hazard Type Risk Index Score,1.20.0,December 2025
177,,,,,,Hazard Type Risk Index Rating,1.20.0,December 2025
178,,,,,,Number of Events,1.20.0,December 2025
179,,,,,,Annualized Frequency,1.20.0,December 2025
180,,,,,,Exposure - Building Value,1.20.0,December 2025
181,,,,,,Exposure - Population,1.20.0,December 2025
182,,,,,,Exposure - Population Equivalence,1.20.0,December 2025
183,,,,,,Exposure - Agriculture Value,1.20.0,December 2025
184,,,,,,Exposure - Total,1.20.0,December 2025
185,,,,,,Exposure - Area,1.20.0,December 2025
186,,,,,,Historic Loss Ratio - Buildings,1.20.0,December 2025
187,,,,,,Historic Loss Ratio - Population,1.20.0,December 2025
188,,,,,,Historic Loss Ratio - Agriculture,1.20.0,December 2025
189,,,,,,Historic Loss Ratio - Total Rating,1.20.0,December 2025
190,,,,,,Expected Annual Loss - Building Value,1.20.0,December 2025
191,,,,,,Expected Annual Loss - Population,1.20.0,December 2025
192,,,,,,Expected Annual Loss - Population Equivalence,1.20.0,December 2025
193,,,,,,Expected Annual Loss - Agriculture Value,1.20.0,December 2025
194,,,,,,Expected Annual Loss - Total,1.20.0,December 2025
195,,,,,,Expected Annual Loss Score,1.20.0,December 2025
196,,,,,,Expected Annual Loss Rating,1.20.0,December 2025
197,,,,,,Expected Annual Loss Rate - Building,1.20.0,December 2025
198,,,,,,Expected Annual Loss Rate - Population,1.20.0,December 2025
199,,,,,,Expected Annual Loss Rate - Agriculture,1.20.0,December 2025
200,,,,,,National Percentile,1.20.0,December 2025
201,,,,,,Hazard Type Risk Index Value,1.20.0,December 2025
202,,,,,,Hazard Type Risk Index Score,1.20.0,December 2025
203,,,,,,Hazard Type Risk Index Rating,1.20.0,December 2025
204,,,,,,Number of Events,1.20.0,December 2025
205,,,,,,Annualized Frequency,1.20.0,December 2025
206,,,,,,Exposure - Building Value,1.20.0,December 2025
207,,,,,,Exposure - Population,1.20.0,December 2025
208,,,,,,Exposure - Population Equivalence,1.20.0,December 2025
